popular_vote_percentage,NAP,payroll,stock,rdi,election,national_polls,gdp,state_election,Democrat_Republican,NAP_weighted_diff,stock_weighted_diff,rdi_weighted_diff,national_polls_weighted_diff,gdp_weighted_diff
50.75,0.5229484975808505,0.11475735470488545,2.211817230463379,-2.6440423976608187,0.032966013916475335,0.33594972208424234,0.09227228656175143,1.0,0,5.3,0.4872,20.7,892.2404862333333,40217.771
58.77,0.011919212862609108,0.1749183852054427,-6.608670325950673,4.012770562770563,0.061185075123148185,0.21252327955272327,0.14356808930205234,1.0,0,8.15,0.7582,44.90000000000001,1171.1708477172042,42526.777999999984
40.56,0.011919212862609108,0.1749183852054427,-6.608670325950673,4.012770562770563,0.061185075123148185,-0.13325752435185345,0.14356808930205234,1.0,1,8.15,0.7582,44.90000000000001,822.9990855290324,42526.777999999984
53.37,0.11343137254901972,0.17848799006058969,10.746606930550856,2.8336523125996806,0.06483212305899796,0.793594694798355,0.11866746793752407,-1.0,0,7.74,1.27,36.0,1018.448261526344,50729.76700000001
45.65,0.11343137254901972,0.17848799006058969,10.746606930550856,2.8336523125996806,0.06483212305899796,-0.5473390708148081,0.11866746793752407,-1.0,1,7.74,1.27,36.0,927.2490987698924,50729.76700000001
43.01,0.2949050949050949,0.014978224588763875,-14.909384921726605,13.389655172413795,0.061903912698662765,0.3273414519952341,0.029357168318517188,1.0,1,5.3,0.9592,25.8,944.5469234333333,56147.697
37.45,0.2949050949050949,0.014978224588763875,-14.909384921726605,13.389655172413795,0.061903912698662765,0.1885066842517992,0.029357168318517188,1.0,0,5.3,0.9592,25.8,745.2943737086023,56147.697
49.23,0.24770344959024146,0.15062340299870075,27.750394345384468,0.9417706476530008,0.06576976145067381,0.1284348595326935,0.08515105720196474,1.0,1,8.219999999999999,2.2239,29.8,1036.2679555107525,63316.227
40.72,0.24770344959024146,0.15062340299870075,27.750394345384468,0.9417706476530008,0.06576976145067381,0.13050069454769495,0.08515105720196474,1.0,0,8.219999999999999,2.2239,29.8,753.5138899376344,63316.227
48.38,-0.11029455201322258,0.12614117298447267,-2.8898913197076883,1.2586932078457505,0.03966944009649319,0.2009482427397677,0.14492409364535536,-1.0,1,8.89,1.0582,45.4,896.9562931153612,74922.17199999999
47.87,-0.11029455201322258,0.12614117298447267,-2.8898913197076883,1.2586932078457505,0.03966944009649319,0.1821761209846376,0.14492409364535536,-1.0,0,8.89,1.0582,45.4,952.7146045012288,74922.17199999999
50.73,0.10967556253270552,0.04328553507337212,-6.287693584506961,0.5777777777777774,0.056577547945928335,0.12377438688222372,0.10747267553929332,1.0,0,7.53,0.4793999999999998,30.0,1012.3243356301076,82835.858
48.27,0.10967556253270552,0.04328553507337212,-6.287693584506961,0.5777777777777774,0.056577547945928335,0.05997225662884749,0.10747267553929332,1.0,1,7.53,0.4793999999999998,30.0,975.01221952043,82835.858
52.93,-0.4383991472005929,-0.0162253445058306,-47.703968104055406,-1.0456521739130438,-0.07057757814089198,0.4140089827043477,0.06537659505266027,-1.0,1,4.38,-0.8410000000000002,20.5,1015.0054207763443,93266.354
45.66,-0.4383991472005929,-0.0162253445058306,-47.703968104055406,-1.0456521739130438,-0.07057757814089198,0.06648906021299841,0.06537659505266027,-1.0,0,4.38,-0.8410000000000002,20.5,918.109346424731,93266.354
51.06,-0.03539963626523708,0.08562983281280408,-0.4723057667942594,-9.395652173913042,0.010417176675547576,0.08179473679733354,0.05788146321226575,1.0,1,7.13,0.8649,23.9,997.7551665311827,94869.629
47.2,-0.03539963626523708,0.08562983281280408,-0.4723057667942594,-9.395652173913042,0.010417176675547576,0.16117683993050838,0.05788146321226575,1.0,0,7.13,0.8649,23.9,982.980010417204,94869.629
46.09,0.25009234463015995,0.11566374483180415,-24.363123180670147,-5.676494237469847,0.03288605485063238,0.26392863846876763,0.07205422550289615,-1.0,0,7.6800000000000015,0.8853,27.5,845.412266935484,103491.911
48.18000000000001,0.25009234463015995,0.11566374483180415,-24.363123180670147,-5.676494237469847,0.03288605485063238,0.2293797818628263,0.07205422550289615,-1.0,1,7.6800000000000015,0.8853,27.5,936.224150623656,103491.911
47.4,0.5596898682794758,-0.8102551950690735,-14.658747986762648,-1.5710329097425872,-0.11286866467190088,0.13883627734552295,0.07153287517056765,1.0,0,6.709999999999999,0.6599999999999999,22.9,897.398750010753,113749.155
50.8,0.5596898682794758,-0.8102551950690735,-14.658747986762648,-1.5710329097425872,-0.11286866467190088,0.11653631154829612,0.07153287517056765,1.0,1,6.709999999999999,0.6599999999999999,22.9,1075.2280687419357,113749.155
